"Country","Year","Population","LifeExpectancy","Fertility","Income","Geographic.Region","Geographic.Region.ID"
"Afghanistan",1962,10056480,32.608,7.671,853.1007099911,"South Asia","AF"
"Afghanistan",2013,34499915,60.947,4.9,1351.0145344567,"South Asia","AF"
"Afghanistan",2009,30577756,59.124,5.928,1154.8593648736,"South Asia","AF"
"Afghanistan",1977,14003408,39.855,7.67,786.1133599582,"South Asia","AF"
"Afghanistan",1996,20684982,52.995,7.859,617.9106359779,"South Asia","AF"
"Afghanistan",1967,11163656,35.17,7.671,836.1971381977,"South Asia","AF"
"Afghanistan",1997,21299350,53.527,7.869,635.341351018,"South Asia","AF"
"Afghanistan",2007,29145841,58.102,6.456,983.6523136747,"South Asia","AF"
"Afghanistan",1988,12156685,46.88,7.682,770.0107940191,"South Asia","AF"
"Afghanistan",1980,14185729,41.242,7.669,810.4316248939,"South Asia","AF"
"Afghanistan",1992,15472076,50.247,7.725,649.3413951574,"South Asia","AF"
"Afghanistan",2011,32358260,60.079,5.395,1261.3541844891,"South Asia","AF"
"Afghanistan",1972,12593688,37.614,7.671,739.9811058125,"South Asia","AF"
"Afghanistan",1976,13766792,39.417,7.67,866.1924805689,"South Asia","AF"
"Afghanistan",2012,33397058,60.524,5.141,1349.696941024,"South Asia","AF"
"Afghanistan",1986,12372113,45.192,7.681,1030.8880674538,"South Asia","AF"
"Afghanistan",1982,13672870,42.347,7.671,978.0114387919,"South Asia","AF"
"Afghanistan",1999,22227543,54.449,7.809,670.9872209172,"South Asia","AF"
"Afghanistan",1987,12183387,46.024,7.682,852.3959448166,"South Asia","AF"
"Afghanistan",1964,10474903,33.639,7.671,846.2672817651,"South Asia","AF"
"Afghanistan",1994,18553819,51.738,7.796,500.4494473478,"South Asia","AF"
"Afghanistan",1974,13223928,38.529,7.671,825.5800312026,"South Asia","AF"
"Afghanistan",1975,13505544,38.977,7.671,846.4424025085,"South Asia","AF"
"Afghanistan",2000,22856302,54.863,7.733,663.9098777311,"South Asia","AF"
"Afghanistan",2002,24639841,55.687,7.484,726.7340547795,"South Asia","AF"
"Afghanistan",1965,10697983,34.152,7.671,845.2206617373,"South Asia","AF"
"Afghanistan",1995,19789880,52.4,7.832,601.8742098742,"South Asia","AF"
"Afghanistan",1969,11676990,36.172,7.671,837.6207743452,"South Asia","AF"
"Afghanistan",2001,23677385,55.271,7.623,595.0387410365,"South Asia","AF"
"Afghanistan",1993,17053213,51.017,7.758,558.8532414413,"South Asia","AF"
"Afghanistan",2003,25678639,56.122,7.321,785.1275711082,"South Asia","AF"
"Afghanistan",2010,31411743,59.612,5.659,1214.6136530568,"South Asia","AF"
"Afghanistan",1966,10927724,34.662,7.671,833.6140562415,"South Asia","AF"
"Afghanistan",1968,11411022,35.674,7.671,845.0799785532,"South Asia","AF"
"Afghanistan",1983,13300056,42.977,7.673,1013.1327362922,"South Asia","AF"
"Afghanistan",2004,26693486,56.583,7.136,804.717457749,"South Asia","AF"
"Afghanistan",1981,13984092,41.77,7.67,896.8607463921,"South Asia","AF"
"Afghanistan",1991,14069854,49.439,7.7,705.4457986611,"South Asia","AF"
"Afghanistan",1970,11964906,36.663,7.671,833.31592336,"South Asia","AF"
"Afghanistan",2006,28420974,57.582,6.702,887.9145776626,"South Asia","AF"
"Afghanistan",1971,12273101,37.143,7.671,773.6951377734,"South Asia","AF"
"Afghanistan",1985,12625292,44.4,7.679,961.9241847981,"South Asia","AF"
"Afghanistan",1990,13032161,48.601,7.687,709.5049419011,"South Asia","AF"
"Afghanistan",2005,27614718,57.071,6.93,874,"South Asia","AF"
"Afghanistan",1989,12414686,47.744,7.682,751.4412739574,"South Asia","AF"
"Afghanistan",1984,12931791,43.661,7.676,994.5712439911,"South Asia","AF"
"Afghanistan",1973,12915499,38.075,7.671,803.4865369232,"South Asia","AF"
"Afghanistan",1963,10261254,33.124,7.671,849.4447176804,"South Asia","AF"
"Afghanistan",1998,21752257,54.009,7.854,653.2968533342,"South Asia","AF"
"Afghanistan",1979,14249493,40.756,7.669,809.0741143212,"South Asia","AF"
"Afghanistan",2008,29839994,58.618,6.196,984.8058414344,"South Asia","AF"
"Afghanistan",1978,14179656,40.298,7.67,827.0921548187,"South Asia","AF"
"Albania",1987,3116009,71.77,3.126,3738.9327353597,"Europe & Central Asia","AL"
"Albania",2003,3106701,75.437,2.097,4855.2100236861,"Europe & Central Asia","AL"
"Albania",1982,2777592,70.646,3.46,3630.880722186,"Europe & Central Asia","AL"
"Albania",1997,3091902,72.796,2.611,3193.0546035388,"Europe & Central Asia","AL"
"Albania",1974,2347607,68.356,4.538,3491.4265968828,"Europe & Central Asia","AL"
"Albania",2006,3156607,76.124,1.849,5652.0493213823,"Europe & Central Asia","AL"
"Albania",1992,3266983,71.779,2.867,2497.4379009003,"Europe & Central Asia","AL"
"Albania",1999,3072725,73.713,2.467,3928.2751377194,"Europe & Central Asia","AL"
"Albania",1977,2508026,69.459,4.094,3533.0039100482,"Europe & Central Asia","AL"
"Albania",1983,2831682,70.886,3.372,3652.0761736016,"Europe & Central Asia","AL"
"Albania",2009,3192723,76.598,1.744,6550.8961635104,"Europe & Central Asia","AL"
"Albania",1964,1817098,65.475,5.711,2473.6971001306,"Europe & Central Asia","AL"
"Albania",2007,3169665,76.278,1.796,5958.0211967274,"Europe & Central Asia","AL"
"Albania",2002,3089778,75.081,2.195,4604.2117373419,"Europe & Central Asia","AL"
"Albania",1972,2241623,67.595,4.809,3313.4221881009,"Europe & Central Asia","AL"
